rxn_id	kegg_reaction_id	ec_code	substrates	products
MAR04682	R02613	1.4.3.4	C00001;C00007;C05332	C00080;C00027;C00014;C00601
MAR04683	R02536	1.2.1.5	C00001;C00003;C00601	C00080;C00004;C07086
MAR04685	R02536	1.2.1.5	C00001;C00003;C00601	C00080;C00004;C07086
MAR04686	R02537	1.2.1.5	C00080;C00005;C07086	C00001;C00006;C00601
MAR04687	R02537	1.2.1.5	C00080;C00005;C07086	C00001;C00006;C00601
MAR04702	R02518	4.1.1.-	C00544;C00005;C00007	C00011;C05585;C00001;C00006
MAR04703	R02655	1.2.1.29	C05585;C00001;C00003	C00628;C00080;C00004
MAR04704	R02657	1.2.3.1	C05585;C00001;C00007	C00628;C00080;C00027
MAR06988	R02810	1.11.1.8	C00080;C00027;C00708	C00001;C01382
MAR07701	R07172	1.11.1.-	C00080;C00005;C00007	C00027;C00006
MAR08529	R06154	1.4.3.6	C00001;C00218;C00007	C00067;C00080;C00027;C00014
MAR08537	R07212	1.14.16.2	C00007;C00272;C00082	C15522;C00355
MAR08541	R00031	1.14.18.1	C00007;C00082	C00355
MAR08542	R00045	1.14.18.1	C00355;C00007	C00001;C00822
MAR03206	R00927	2.3.1.16	C03344;C00010	C00024;C00100
MAR03208	R01859	6.4.1.3	C00002;C00288;C00100	C00008;C00080;C00683;C00009
MAR03213	R02765	5.1.99.1	C00683	C01213
MAR03215	R00833	5.4.99.2	C01213	C00091
MAR03747	R01214	2.6.1.42	C00026;C00183	C00141;C00025
MAR03744	R01214	2.6.1.42	C00026;C00183	C00141;C00025
MAR03757	R02047	1.1.1.31	C06001;C00003	C00349;C00080;C00004
MAR03761	R03381	1.2.1.18	C00349;C00010;C00003	C01213;C00080;C00004
MAR03777	R01090	2.6.1.42	C00026;C00407	C03465;C00025
MAR03778	R01090	2.6.1.42	C00026;C00407	C03465;C00025
MAR03795	R00922	1.2.1.27	C00349;C00010;C00003	C00011;C00004;C00100
MAR04797	R03869	1.2.1.3	C00349;C00001;C00003	C00080;C02170;C00004
MAR06417	R02662	2.3.1.168	C00010;C04424	C00579;C00630
MAR06419	R04225	1.2.4.4	C00248;C15978	C05118;C00068
MAR06420	R03174	2.3.1.168	C00010;C05118	C01033;C00579
MAR06421	R07602	1.2.4.4	C00248;C15974	C05119;C00068
MAR06422	R04097	2.3.1.168	C00010;C05119	C00579;C02939
MAR06923	R01090	2.6.1.42	C00026;C00123	C00233;C00025
MAR03765	R01090	2.6.1.42	C00026;C00123	C00233;C00025
MAR08088	R04188	2.6.1.22	C00349;C00025	C00026;C03284
MAR08787	R00923	4.1.1.9	C00080;C00683	C00011;C00100
MAR04214	R00678	1.13.11.11	C00007;C00078	C02700
MAR04216	R01958	3.5.1.49	C00001;C02700	C00058;C00080;C00328
MAR04218	R03936	3.7.1.3	C00001;C02700	C00041;C05653;C00080
MAR04219	R00988	3.5.1.9	C05653;C00001	C00108;C00058;C00080
MAR04220	R01960	1.14.13.9	C03227;C00001;C00006	C00080;C00328;C00005;C00007
MAR04224	R00987	3.7.1.3	C00001;C00328	C00041;C00108;C00080
MAR04225	R02668	3.7.1.3	C03227;C00001	C00632;C00041
MAR04227	R02670	1.11.1.6	C00632;C00007	C05640;C00080;C00027;C00704
MAR04231	R04323	4.1.1.45	C04409;C00080	C03824;C00011
MAR04233	R03889	1.2.1.32	C03824;C00001;C00003	C02220;C00080;C00004
MAR04235	R01938	1.5.1.-	C02220;C00001;C00005	C00322;C00006;C00014
MAR04243	R02487	1.3.8.6	C00016;C00527;C00080	C00011;C00877;C01352
MAR04244	R04171	2.6.1.7	C03227;C00026	C05645;C00025
MAR06707	R00685	4.1.1.28	C00080;C00078	C00011;C00398
MAR06711	R02174	2.1.1.49	C00019;C00398	C00080;C06213;C00021
MAR06713	R02173	1.4.3.4	C00001;C00007;C00398	C00080;C00027;C00637;C00014
MAR06714	R02678	1.2.1.3	C00001;C00637;C00003	C00080;C00954;C00004
MAR06715	R10452	2.1.1.6	C00954;C00019	MAM02478c;C00021
MAR06716	R02702	1.13.11.52	C01017;C00007	C05648
MAR06717	R04911	3.5.1.9	C05648;C00001	C05651;C00058;C00080
MAR06718	R04909	4.1.1.28	C05651;C00080	C05638;C00011
MAR06719	R04908	1.4.3.4	C05638;C00007	C05639;C00080;C00027;C00014
MAR06725	R00694	2.6.1.1	C00026;C00079	C00025;C00166
MAR06726	R01372	1.13.11.27	C00007;C00166	C05852;C00011
MAR06727	R01378	5.3.2.1	C00166	C02763
MAR06728	R01815	1.14.16.2	C00007;C00272;C00082	C00268;C00001;C00355
MAR06729	R00731	1.14.18.1	C00080;C00007;C00082	C00001;C00355
MAR06731	R02080	4.1.1.28	C00080;C00355	C00011;C03758
MAR06741	R02535	1.14.17.1	C00072;C03758;C00007	C00425;C00001;C00547
MAR06743	R02533	2.1.1.28	C00547;C00019	C00788;C00080;C00021
MAR06745	R02919	1.4.3.4	C00788;C00001;C00007	C05577;C00027;C00218
MAR06746	R02920	2.1.1.6	C00788;C00019	C00080;C05588;C00021
MAR06747	R04894	1.4.3.4	C00001;C05588;C00007	C05583;C00027;C00218
MAR06748	R04891	1.2.1.5	C05583;C00001;C00003	C00080;C00004;C05584
MAR06749	R04892	1.2.1.5	C05583;C00001;C00006	C00080;C00005;C05584
