RxnID	EC_Code	Uniprot	KEGG_Substrate	KEGG_Product
MAR03723	3.1.1.13	P38571	NaN;C00001	C00187;C06428;C00080
MAR03723	3.1.1.13	P19835	NaN;C00001	C00187;C06428;C00080
MAR03724	3.1.1.13	P38571	NaN;C00001	C00187;C16513;C00080
MAR03724	3.1.1.13	P19835	NaN;C00001	C00187;C16513;C00080
MAR03725	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03725	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03726	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03726	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03727	3.1.1.13	P38571	NaN;C00001	C00187;C06429;C00080
MAR03727	3.1.1.13	P19835	NaN;C00001	C00187;C06429;C00080
MAR03728	3.1.1.13	P38571	NaN;C00001	C16522;C00187;C00080
MAR03728	3.1.1.13	P19835	NaN;C00001	C16522;C00187;C00080
MAR03729	3.1.1.13	P38571	NaN;C00001	C16534;C00187;C00080
MAR03729	3.1.1.13	P19835	NaN;C00001	C16534;C00187;C00080
MAR03730	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03730	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03731	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03731	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03732	3.1.1.13	P38571	NaN;C00001	C00187;C00080;C01595
MAR03732	3.1.1.13	P19835	NaN;C00001	C00187;C00080;C01595
MAR03733	3.1.1.13	P38571	NaN;C00001	C00187;C06426;C00080
MAR03733	3.1.1.13	P19835	NaN;C00001	C00187;C06426;C00080
MAR03734	3.1.1.13	P38571	NaN;C00001	C00187;C03242;C00080
MAR03734	3.1.1.13	P19835	NaN;C00001	C00187;C03242;C00080
MAR03735	3.1.1.13	P38571	NaN;C00001	C00219;C00187;C00080
MAR03735	3.1.1.13	P19835	NaN;C00001	C00219;C00187;C00080
MAR03736	3.1.1.13	P38571	NaN;C00001	C16527;C00187;C00080
MAR03736	3.1.1.13	P19835	NaN;C00001	C16527;C00187;C00080
MAR03737	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03737	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03738	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03738	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03739	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03739	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR03740	3.1.1.13	P38571	NaN;C00001	C16525;C00187;C00080
MAR03740	3.1.1.13	P19835	NaN;C00001	C16525;C00187;C00080
MAR03741	3.1.1.13	P38571	NaN;C00001	C16533;C00187;C00080
MAR03741	3.1.1.13	P19835	NaN;C00001	C16533;C00187;C00080
MAR03742	3.1.1.13	P38571	NaN;C00001	NaN;C00187;C00080
MAR03742	3.1.1.13	P19835	NaN;C00001	NaN;C00187;C00080
MAR00715	1.14.-.-	Q6QHC5	NaN;C00080;C00005;C00007	C00001;C00006;C12145
MAR00715	1.14.-.-	O15121	NaN;C00080;C00005;C00007	C00001;C00006;C12145
MAR00716	3.5.1.23	Q9NUN7	C00001;C12145	C12144;C00162
MAR00716	3.5.1.23	Q13510	C00001;C12145	C12144;C00162
MAR00716	3.5.1.23	Q5QJU3	C00001;C12145	C12144;C00162
MAR00716	3.5.1.23	Q8TDN7	C00001;C12145	C12144;C00162
